Category,Resume,cleaned_resume,stemmed_resume
Frontend Developer,"Skills: Database Management, Linux, Cloud Computing, Agile Methodologies, Data Analysis. Experience: Worked as a software engineer intern for 6 months. Internships: Completed an internship as a network engineer. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: PMP Certified Project Manager.",skill database management linux cloud compute agile methodology datum analysis experience work software engineer intern   month internship complete internship network engineer project implement cicd pipeline jenkin certification pmp certify project manager,skill databas manag linux cloud comput agil methodolog datum analysi experi work softwar engin intern month internship complet internship network engin project implement cicd pipelin jenkin certif pmp certifi project manag
Scrum Master,"Skills: Penetration Testing, Python, C++, Microservices, Cloud Computing. Experience: Handled technical support for enterprise-level systems. Internships: Intern at ABC Tech Solutions, focused on system analysis. Projects: Developed an AI-based resume screening application. Certifications: Google Cloud Professional Cloud Architect.",skill penetration testing python c microservice cloud computing experience handle technical support enterpriselevel system internship intern abc tech solution focus system analysis project develop aibased resume screen application certification google cloud professional cloud architect,skill penetr test python c microservic cloud comput experi handl technic support enterpriselevel system internship intern abc tech solut focu system analysi project develop aibas resum screen applic certif googl cloud profession cloud architect
AI/ML Engineer,"Skills: Linux, Data Analysis, SQL, HTML/CSS, Java. Experience: 3 years of experience in developing full-stack applications. Internships: Worked as an intern in IT support for a fintech company. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Google Cloud Professional Cloud Architect.",skill linux datum analysis sql htmlcss java experience   year experience develop fullstack application internship work intern support fintech company project design microservice architecture largescale web application certifications google cloud professional cloud architect,skill linux datum analysi sql htmlcss java experi year experi develop fullstack applic internship work intern support fintech compani project design microservic architectur largescal web applic certif googl cloud profession cloud architect
AI/ML Engineer,"Skills: Azure, Deep Learning, Data Mining, Oracle, Virtualization. Experience: Led a project to deploy cloud solutions across multiple teams. Internships: Interned as a data engineer at MNO Data Labs. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: Certified Ethical Hacker (CEH).",skill azure deep learn datum mining oracle virtualization experience lead project deploy cloud solution multiple team internship intern data engineer mno data lab project design deploy secure vpn corporate network certification certify ethical hacker ceh,skill azur deep learn datum mine oracl virtual experi lead project deploy cloud solut multipl team internship intern data engin mno data lab project design deploy secur vpn corpor network certif certifi ethic hacker ceh
System Administrator,"Skills: System Monitoring, Microservices, AWS, PostgreSQL, Machine Learning. Experience: Handled technical support for enterprise-level systems. Internships: Interned as a data engineer at MNO Data Labs. Projects: Developed a cloud-based backup system for enterprise data. Certifications: Google Cloud Professional Cloud Architect.",skill system monitor microservice aw postgresql machine learning experience handle technical support enterpriselevel system internship intern data engineer mno data lab project develop cloudbase backup system enterprise datum certifications google cloud professional cloud architect,skill system monitor microservic aw postgresql machin learn experi handl technic support enterpriselevel system internship intern data engin mno data lab project develop cloudbas backup system enterpris datum certif googl cloud profession cloud architect
Blockchain Developer,"Skills: CI/CD, Data Mining, Incident Response, ERP Implementation, Oracle. Experience: Experience in designing and implementing machine learning algorithms. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Developed a cloud-based backup system for enterprise data. Certifications: Certified ScrumMaster (CSM).",skill cicd datum mining incident response erp implementation oracle experience experience design implement machine learn algorithm internship complete internship xyz software work cloud infrastructure project develop cloudbase backup system enterprise datum certification certify scrummaster csm,skill cicd datum mine incid respons erp implement oracl experi experi design implement machin learn algorithm internship complet internship xyz softwar work cloud infrastructur project develop cloudbas backup system enterpris datum certif certifi scrummast csm
Embedded Systems Engineer,"Skills: Linux, Python, Angular, API Development, SQL. Experience: 4 years of experience in IT security operations. Internships: Internship in frontend development at a digital marketing agency. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Microsoft Certified: Azure Fundamentals.",skill linux python angular api development sql experience   year experience security operation internship internship frontend development digital marketing agency project implement cicd pipeline jenkins certification microsoft certify azure fundamental,skill linux python angular api develop sql experi year experi secur oper internship internship frontend develop digit market agenc project implement cicd pipelin jenkin certif microsoft certifi azur fundament
Information Security Manager,"Skills: ERP Implementation, Penetration Testing, Deep Learning, PostgreSQL, Cloud Computing. Experience: 5 years of experience in cloud infrastructure management. Internships: 6-month internship at DEF Cybersecurity firm, focusing on ethical hacking. Projects: Developed a user-friendly dashboard using Power BI. Certifications: Certified Data Scientist.",skill erp implementation penetration test deep learn postgresql cloud computing experience   year experience cloud infrastructure management internship month internship def cybersecurity firm focus ethical hack project develop userfriendly dashboard power bi certification certify datum scientist,skill erp implement penetr test deep learn postgresql cloud comput experi year experi cloud infrastructur manag internship month internship def cybersecur firm focu ethic hack project develop userfriendli dashboard power bi certif certifi datum scientist
IT Trainer,"Skills: Data Analysis, Machine Learning, System Monitoring, Docker, Penetration Testing. Experience: 3 months of experience as a junior backend developer. Internships: Completed an internship as a network engineer. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: Oracle Certified Professional.",skill data analysis machine learning system monitor docker penetration testing experience   month experience junior backend developer internship complete internship network engineer project design deploy secure vpn corporate network certification oracle certify professional,skill data analysi machin learn system monitor docker penetr test experi month experi junior backend develop internship complet internship network engin project design deploy secur vpn corpor network certif oracl certifi profession
Full Stack Developer,"Skills: Windows Server, Oracle, TensorFlow, CI/CD, Cloud Computing. Experience: Worked as a software engineer intern for 6 months. Internships: Interned as a data engineer at MNO Data Labs. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Google Cloud Professional Cloud Architect.",skill windows server oracle tensorflow cicd cloud computing experience work software engineer intern   month internship intern data engineer mno data lab project implement cicd pipeline jenkins certifications google cloud professional cloud architect,skill window server oracl tensorflow cicd cloud comput experi work softwar engin intern month internship intern data engin mno data lab project implement cicd pipelin jenkin certif googl cloud profession cloud architect
IoT Developer,"Skills: Deep Learning, Machine Learning, Agile Methodologies, Virtualization, C++. Experience: 2 years of experience as a data scientist in a multinational company. Internships: 3-month internship at a mobile app development firm. Projects: Developed a chatbot using Python and machine learning. Certifications: Google Cloud Professional Cloud Architect.",skill deep learn machine learn agile methodology virtualization c experience   year experience data scientist multinational company internship month internship mobile app development firm project develop chatbot python machine learn certifications google cloud professional cloud architect,skill deep learn machin learn agil methodolog virtual c experi year experi data scientist multin compani internship month internship mobil app develop firm project develop chatbot python machin learn certif googl cloud profession cloud architect
Site Reliability Engineer,"Skills: SQL, Python, Oracle, Azure, Data Analysis. Experience: 2 years of experience as a data scientist in a multinational company. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Created a mobile app for e-commerce platforms. Certifications: Certified Ethical Hacker (CEH).",skill sql python oracle azure datum analysis experience   year experience data scientist multinational company internship intern pqr system ai machine learning project create mobile app ecommerce platform certification certify ethical hacker ceh,skill sql python oracl azur datum analysi experi year experi data scientist multin compani internship intern pqr system ai machin learn project creat mobil app ecommerc platform certif certifi ethic hacker ceh
Cloud Engineer,"Skills: AWS, System Monitoring, Incident Response, ERP Implementation, Node.js. Experience: 5 years of experience in cloud infrastructure management. Internships: Interned at a leading game development company. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: PMP Certified Project Manager.",skill aws system monitor incident response erp implementation nodejs experience   year experience cloud infrastructure management internship intern lead game development company project design deploy secure vpn corporate network certification pmp certify project manager,skill aw system monitor incid respons erp implement nodej experi year experi cloud infrastructur manag internship intern lead game develop compani project design deploy secur vpn corpor network certif pmp certifi project manag
IT Auditor,"Skills: JavaScript, Angular, System Monitoring, Windows Server, Cloud Computing. Experience: 4 years of experience in IT security operations. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: Cisco Certified Network Associate (CCNA).",skill javascript angular system monitor window server cloud computing experience   year experience security operation internship intern pqr system ai machine learning project design deploy secure vpn corporate network certification cisco certify network associate ccna,skill javascript angular system monitor window server cloud comput experi year experi secur oper internship intern pqr system ai machin learn project design deploy secur vpn corpor network certif cisco certifi network associ ccna
Information Security Manager,"Skills: Python, Linux, Microservices, Incident Response, Azure. Experience: Handled technical support for enterprise-level systems. Internships: 6-month internship at DEF Cybersecurity firm, focusing on ethical hacking. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Certified ScrumMaster (CSM).",skill python linux microservices incident response azure experience handle technical support enterpriselevel system internship month internship def cybersecurity firm focus ethical hack project implement cicd pipeline jenkin certification certify scrummaster csm,skill python linux microservic incid respons azur experi handl technic support enterpriselevel system internship month internship def cybersecur firm focu ethic hack project implement cicd pipelin jenkin certif certifi scrummast csm
Penetration Tester,"Skills: JavaScript, DevOps, Kubernetes, Windows Server, Penetration Testing. Experience: Worked as a software engineer intern for 6 months. Internships: Interned as a data engineer at MNO Data Labs. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Microsoft Certified: Azure Fundamentals.",skill javascript devop kubernetes windows server penetration testing experience work software engineer intern   month internship intern data engineer mno data lab project implement cicd pipeline jenkins certification microsoft certify azure fundamental,skill javascript devop kubernet window server penetr test experi work softwar engin intern month internship intern data engin mno data lab project implement cicd pipelin jenkin certif microsoft certifi azur fundament
Game Developer,"Skills: SQL, Deep Learning, Angular, Cybersecurity, Keras. Experience: 3 years of experience in developing full-stack applications. Internships: 3-month internship at a mobile app development firm. Projects: Created a game using Unity and C#. Certifications: Certified Data Scientist.",skill sql deep learn angular cybersecurity keras experience   year experience develop fullstack application internship month internship mobile app development firm project create game unity c certification certify datum scientist,skill sql deep learn angular cybersecur kera experi year experi develop fullstack applic internship month internship mobil app develop firm project creat game uniti c certif certifi datum scientist
Embedded Systems Engineer,"Skills: Cybersecurity, C++, Python, Network Administration, Database Management. Experience: Experience in developing and managing databases for large-scale applications. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Developed a chatbot using Python and machine learning. Certifications: Certified Data Scientist.",skill cybersecurity c python network administration database management experience experience develop manage database largescale application internship intern pqr system ai machine learning project develop chatbot python machine learn certification certify datum scientist,skill cybersecur c python network administr databas manag experi experi develop manag databas largescal applic internship intern pqr system ai machin learn project develop chatbot python machin learn certif certifi datum scientist
IT Support Specialist,"Skills: SQL, PostgreSQL, Machine Learning, Incident Response, JavaScript. Experience: Experience in designing and implementing machine learning algorithms. Internships: Internship in frontend development at a digital marketing agency. Projects: Developed a user-friendly dashboard using Power BI. Certifications: Certified Data Scientist.",skill sql postgresql machine learn incident response javascript experience experience design implement machine learn algorithm internship internship frontend development digital marketing agency project develop userfriendly dashboard power bi certification certify datum scientist,skill sql postgresql machin learn incid respons javascript experi experi design implement machin learn algorithm internship internship frontend develop digit market agenc project develop userfriendli dashboard power bi certif certifi datum scientist
IT Consultant,"Skills: AWS, React, Network Administration, HTML/CSS, Cybersecurity. Experience: 5 years of experience in cloud infrastructure management. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Created a mobile app for e-commerce platforms. Certifications: Microsoft Certified: Azure Fundamentals.",skill aws react network administration htmlcss cybersecurity experience   year experience cloud infrastructure management internship complete internship xyz software work cloud infrastructure project create mobile app ecommerce platform certification microsoft certify azure fundamental,skill aw react network administr htmlcss cybersecur experi year experi cloud infrastructur manag internship complet internship xyz softwar work cloud infrastructur project creat mobil app ecommerc platform certif microsoft certifi azur fundament
Infrastructure Engineer,"Skills: Network Administration, AWS, SQL, DevOps, Agile Methodologies. Experience: 3 months of experience as a junior backend developer. Internships: 3-month internship at a mobile app development firm. Projects: Created a game using Unity and C#. Certifications: Google Cloud Professional Cloud Architect.",skill network administration aws sql devop agile methodology experience   month experience junior backend developer internship month internship mobile app development firm project create game unity c certifications google cloud professional cloud architect,skill network administr aw sql devop agil methodolog experi month experi junior backend develop internship month internship mobil app develop firm project creat game uniti c certif googl cloud profession cloud architect
Solutions Architect,"Skills: Virtualization, Angular, Penetration Testing, Azure, System Monitoring. Experience: Experience in designing and implementing machine learning algorithms. Internships: Internship in frontend development at a digital marketing agency. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Cisco Certified Network Associate (CCNA).",skill virtualization angular penetration test azure system monitor experience experience design implement machine learn algorithm internship internship frontend development digital marketing agency project design microservice architecture largescale web application certification cisco certify network associate ccna,skill virtual angular penetr test azur system monitor experi experi design implement machin learn algorithm internship internship frontend develop digit market agenc project design microservic architectur largescal web applic certif cisco certifi network associ ccna
Data Analyst,"Skills: Python, System Monitoring, Scrum, Angular, Penetration Testing. Experience: Experience in developing and managing databases for large-scale applications. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Created a mobile app for e-commerce platforms. Certifications: PMP Certified Project Manager.",skill python system monitoring scrum angular penetration testing experience experience develop manage database largescale application internship complete internship xyz software work cloud infrastructure project create mobile app ecommerce platform certification pmp certify project manager,skill python system monitor scrum angular penetr test experi experi develop manag databas largescal applic internship complet internship xyz softwar work cloud infrastructur project creat mobil app ecommerc platform certif pmp certifi project manag
Cloud Security Engineer,"Skills: Keras, Docker, TensorFlow, Data Analysis, Node.js. Experience: Experience in developing and managing databases for large-scale applications. Internships: Interned as a data engineer at MNO Data Labs. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: PMP Certified Project Manager.",skill keras docker tensorflow datum analysis nodejs experience experience develop manage database largescale application internship intern data engineer mno data lab project design deploy secure vpn corporate network certification pmp certify project manager,skill kera docker tensorflow datum analysi nodej experi experi develop manag databas largescal applic internship intern data engin mno data lab project design deploy secur vpn corpor network certif pmp certifi project manag
Data Scientist,"Skills: Data Mining, Cybersecurity, Node.js, API Development, TensorFlow. Experience: 3 years of experience in developing full-stack applications. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Developed a chatbot using Python and machine learning. Certifications: Certified Kubernetes Administrator (CKA).",skill data mining cybersecurity nodejs api development tensorflow experience   year experience develop fullstack application internship complete internship xyz software work cloud infrastructure project develop chatbot python machine learn certification certify kubernetes administrator cka,skill data mine cybersecur nodej api develop tensorflow experi year experi develop fullstack applic internship complet internship xyz softwar work cloud infrastructur project develop chatbot python machin learn certif certifi kubernet administr cka
IT Auditor,"Skills: Machine Learning, Azure, API Development, HTML/CSS, Data Mining. Experience: Led a project to deploy cloud solutions across multiple teams. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Google Cloud Professional Cloud Architect.",skill machine learn azure api development htmlcss data mining experience lead project deploy cloud solution multiple team internship complete internship xyz software work cloud infrastructure project implement cicd pipeline jenkins certifications google cloud professional cloud architect,skill machin learn azur api develop htmlcss data mine experi lead project deploy cloud solut multipl team internship complet internship xyz softwar work cloud infrastructur project implement cicd pipelin jenkin certif googl cloud profession cloud architect
System Administrator,"Skills: CI/CD, JavaScript, HTML/CSS, React, Deep Learning. Experience: Experience in designing and implementing machine learning algorithms. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Developed an AI-based resume screening application. Certifications: Google Cloud Professional Cloud Architect.",skill cicd javascript htmlcss react deep learn experience experience design implement machine learn algorithm internship complete internship xyz software work cloud infrastructure project develop aibased resume screen application certification google cloud professional cloud architect,skill cicd javascript htmlcss react deep learn experi experi design implement machin learn algorithm internship complet internship xyz softwar work cloud infrastructur project develop aibas resum screen applic certif googl cloud profession cloud architect
IT Trainer,"Skills: Cloud Computing, SQL, Node.js, API Development, React. Experience: 3 years of experience in developing full-stack applications. Internships: Completed an internship as a network engineer. Projects: Developed a chatbot using Python and machine learning. Certifications: Certified Kubernetes Administrator (CKA).",skill cloud computing sql nodejs api development react experience   year experience develop fullstack application internship complete internship network engineer project develop chatbot python machine learn certification certify kubernetes administrator cka,skill cloud comput sql nodej api develop react experi year experi develop fullstack applic internship complet internship network engin project develop chatbot python machin learn certif certifi kubernet administr cka
System Administrator,"Skills: Windows Server, DevOps, Docker, System Monitoring, Deep Learning. Experience: Experience in developing and managing databases for large-scale applications. Internships: Worked as an intern in IT support for a fintech company. Projects: Developed a cloud-based backup system for enterprise data. Certifications: Microsoft Certified: Azure Fundamentals.",skill window server devop docker system monitor deep learning experience experience develop manage database largescale application internship work intern support fintech company project develop cloudbase backup system enterprise datum certification microsoft certify azure fundamental,skill window server devop docker system monitor deep learn experi experi develop manag databas largescal applic internship work intern support fintech compani project develop cloudbas backup system enterpris datum certif microsoft certifi azur fundament
Database Administrator,"Skills: SQL, PostgreSQL, Incident Response, Microservices, Python. Experience: Led a project to deploy cloud solutions across multiple teams. Internships: Completed an internship as a network engineer. Projects: Built a blockchain application for supply chain management. Certifications: PMP Certified Project Manager.",skill sql postgresql incident response microservice python experience lead project deploy cloud solution multiple team internship complete internship network engineer project build blockchain application supply chain management certification pmp certify project manager,skill sql postgresql incid respons microservic python experi lead project deploy cloud solut multipl team internship complet internship network engin project build blockchain applic suppli chain manag certif pmp certifi project manag
IT Consultant,"Skills: Kubernetes, Agile Methodologies, Data Analysis, Data Mining, Incident Response. Experience: 5 years of experience in cloud infrastructure management. Internships: Interned as a data engineer at MNO Data Labs. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Certified Kubernetes Administrator (CKA).",skill kubernete agile methodology datum analysis datum mining incident response experience   year experience cloud infrastructure management internship intern data engineer mno data lab project design microservice architecture largescale web application certification certify kubernetes administrator cka,skill kubernet agil methodolog datum analysi datum mine incid respons experi year experi cloud infrastructur manag internship intern data engin mno data lab project design microservic architectur largescal web applic certif certifi kubernet administr cka
QA Engineer,"Skills: Data Mining, Virtualization, ERP Implementation, CI/CD, AWS. Experience: Handled technical support for enterprise-level systems. Internships: 3-month internship at a mobile app development firm. Projects: Created a mobile app for e-commerce platforms. Certifications: Microsoft Certified: Azure Fundamentals.",skill data mining virtualization erp implementation cicd aws experience handle technical support enterpriselevel system internship month internship mobile app development firm project create mobile app ecommerce platform certification microsoft certify azure fundamental,skill data mine virtual erp implement cicd aw experi handl technic support enterpriselevel system internship month internship mobil app develop firm project creat mobil app ecommerc platform certif microsoft certifi azur fundament
Site Reliability Engineer,"Skills: AWS, DevOps, Azure, TensorFlow, HTML/CSS. Experience: 2 years of experience as a data scientist in a multinational company. Internships: 3-month internship at a mobile app development firm. Projects: Built a blockchain application for supply chain management. Certifications: Certified Data Scientist.",skill aws devop azure tensorflow htmlcss experience   year experience data scientist multinational company internship month internship mobile app development firm project build blockchain application supply chain management certification certify datum scientist,skill aw devop azur tensorflow htmlcss experi year experi data scientist multin compani internship month internship mobil app develop firm project build blockchain applic suppli chain manag certif certifi datum scientist
Game Developer,"Skills: PostgreSQL, HTML/CSS, Deep Learning, Machine Learning, Database Management. Experience: 5 years of experience in cloud infrastructure management. Internships: Intern at ABC Tech Solutions, focused on system analysis. Projects: Developed a user-friendly dashboard using Power BI. Certifications: Certified Ethical Hacker (CEH).",skill postgresql htmlcss deep learn machine learn database management experience   year experience cloud infrastructure management internship intern abc tech solution focus system analysis project develop userfriendly dashboard power bi certification certify ethical hacker ceh,skill postgresql htmlcss deep learn machin learn databas manag experi year experi cloud infrastructur manag internship intern abc tech solut focu system analysi project develop userfriendli dashboard power bi certif certifi ethic hacker ceh
Data Engineer,"Skills: ERP Implementation, Network Administration, PostgreSQL, Keras, Azure. Experience: Worked as a software engineer intern for 6 months. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Developed a user-friendly dashboard using Power BI. Certifications: Microsoft Certified: Azure Fundamentals.",skill erp implementation network administration postgresql keras azure experience work software engineer intern   month internship intern pqr system ai machine learning project develop userfriendly dashboard power bi certification microsoft certify azure fundamental,skill erp implement network administr postgresql kera azur experi work softwar engin intern month internship intern pqr system ai machin learn project develop userfriendli dashboard power bi certif microsoft certifi azur fundament
Software Engineer,"Skills: JavaScript, Linux, CI/CD, Keras, Kubernetes. Experience: 2 years of experience as a data scientist in a multinational company. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Created a game using Unity and C#. Certifications: Certified Data Scientist.",skill javascript linux cicd keras kubernetes experience   year experience data scientist multinational company internship intern pqr system ai machine learning project create game unity c certification certify datum scientist,skill javascript linux cicd kera kubernet experi year experi data scientist multin compani internship intern pqr system ai machin learn project creat game uniti c certif certifi datum scientist
Technical Writer,"Skills: C++, TensorFlow, React, Oracle, Penetration Testing. Experience: Handled technical support for enterprise-level systems. Internships: Worked as an intern in IT support for a fintech company. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Google Cloud Professional Cloud Architect.",skill c tensorflow react oracle penetration testing experience handle technical support enterpriselevel system internship work intern support fintech company project design microservice architecture largescale web application certifications google cloud professional cloud architect,skill c tensorflow react oracl penetr test experi handl technic support enterpriselevel system internship work intern support fintech compani project design microservic architectur largescal web applic certif googl cloud profession cloud architect
ERP Consultant,"Skills: JavaScript, C++, Agile Methodologies, Angular, System Monitoring. Experience: Handled technical support for enterprise-level systems. Internships: Interned as a data engineer at MNO Data Labs. Projects: Created a game using Unity and C#. Certifications: Microsoft Certified: Azure Fundamentals.",skill javascript c agile methodology angular system monitoring experience handle technical support enterpriselevel system internship intern data engineer mno data lab project create game unity c certification microsoft certify azure fundamental,skill javascript c agil methodolog angular system monitor experi handl technic support enterpriselevel system internship intern data engin mno data lab project creat game uniti c certif microsoft certifi azur fundament
System Administrator,"Skills: API Development, AWS, Machine Learning, Keras, Angular. Experience: 3 months of experience as a junior backend developer. Internships: Interned at a leading game development company. Projects: Built a blockchain application for supply chain management. Certifications: Certified Ethical Hacker (CEH).",skill api development aw machine learn keras angular experience   month experience junior backend developer internship intern lead game development company project build blockchain application supply chain management certification certify ethical hacker ceh,skill api develop aw machin learn kera angular experi month experi junior backend develop internship intern lead game develop compani project build blockchain applic suppli chain manag certif certifi ethic hacker ceh
System Analyst,"Skills: C++, Angular, Docker, SQL, Penetration Testing. Experience: 2 years of experience as a data scientist in a multinational company. Internships: Worked as an intern in IT support for a fintech company. Projects: Developed a chatbot using Python and machine learning. Certifications: Microsoft Certified: Azure Fundamentals.",skill c angular docker sql penetration testing experience   year experience data scientist multinational company internship work intern support fintech company project develop chatbot python machine learn certification microsoft certify azure fundamental,skill c angular docker sql penetr test experi year experi data scientist multin compani internship work intern support fintech compani project develop chatbot python machin learn certif microsoft certifi azur fundament
DevSecOps Engineer,"Skills: Keras, Angular, Scrum, Database Management, Node.js. Experience: 2 years of experience as a data scientist in a multinational company. Internships: 3-month internship at a mobile app development firm. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Microsoft Certified: Azure Fundamentals.",skill keras angular scrum database management nodejs experience   year experience data scientist multinational company internship month internship mobile app development firm project design microservice architecture largescale web application certification microsoft certify azure fundamental,skill kera angular scrum databas manag nodej experi year experi data scientist multin compani internship month internship mobil app develop firm project design microservic architectur largescal web applic certif microsoft certifi azur fundament
Solutions Architect,"Skills: PostgreSQL, System Monitoring, Virtualization, C++, Scrum. Experience: 5 years of experience in cloud infrastructure management. Internships: Intern at ABC Tech Solutions, focused on system analysis. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Google Cloud Professional Cloud Architect.",skill postgresql system monitoring virtualization c scrum experience   year experience cloud infrastructure management internship intern abc tech solution focus system analysis project design microservice architecture largescale web application certifications google cloud professional cloud architect,skill postgresql system monitor virtual c scrum experi year experi cloud infrastructur manag internship intern abc tech solut focu system analysi project design microservic architectur largescal web applic certif googl cloud profession cloud architect
Data Engineer,"Skills: Database Management, Scrum, HTML/CSS, Deep Learning, Microservices. Experience: Handled technical support for enterprise-level systems. Internships: Interned as a data engineer at MNO Data Labs. Projects: Built a blockchain application for supply chain management. Certifications: Certified Data Scientist.",skill database management scrum htmlcss deep learn microservice experience handle technical support enterpriselevel system internship intern data engineer mno data lab project build blockchain application supply chain management certification certify datum scientist,skill databas manag scrum htmlcss deep learn microservic experi handl technic support enterpriselevel system internship intern data engin mno data lab project build blockchain applic suppli chain manag certif certifi datum scientist
IT Trainer,"Skills: Machine Learning, DevOps, Kubernetes, Oracle, SQL. Experience: 2 years of experience as a data scientist in a multinational company. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Certified ScrumMaster (CSM).",skill machine learn devop kubernetes oracle sql experience   year experience data scientist multinational company internship complete internship xyz software work cloud infrastructure project implement cicd pipeline jenkin certification certify scrummaster csm,skill machin learn devop kubernet oracl sql experi year experi data scientist multin compani internship complet internship xyz softwar work cloud infrastructur project implement cicd pipelin jenkin certif certifi scrummast csm
BI Developer,"Skills: Oracle, JavaScript, Microservices, HTML/CSS, ERP Implementation. Experience: 3 years of experience in developing full-stack applications. Internships: 6-month internship at DEF Cybersecurity firm, focusing on ethical hacking. Projects: Created a game using Unity and C#. Certifications: Oracle Certified Professional.",skill oracle javascript microservices htmlcss erp implementation experience   year experience develop fullstack application internship month internship def cybersecurity firm focus ethical hack project create game unity c certification oracle certify professional,skill oracl javascript microservic htmlcss erp implement experi year experi develop fullstack applic internship month internship def cybersecur firm focu ethic hack project creat game uniti c certif oracl certifi profession
Database Administrator,"Skills: Virtualization, React, Database Management, CI/CD, Agile Methodologies. Experience: 4 years of experience in IT security operations. Internships: Worked as an intern in IT support for a fintech company. Projects: Built a blockchain application for supply chain management. Certifications: Google Cloud Professional Cloud Architect.",skill virtualization react database management cicd agile methodology experience   year experience security operation internship work intern support fintech company project build blockchain application supply chain management certifications google cloud professional cloud architect,skill virtual react databas manag cicd agil methodolog experi year experi secur oper internship work intern support fintech compani project build blockchain applic suppli chain manag certif googl cloud profession cloud architect
Scrum Master,"Skills: React, System Monitoring, C++, JavaScript, Linux. Experience: 5 years of experience in cloud infrastructure management. Internships: Interned as a data engineer at MNO Data Labs. Projects: Developed a chatbot using Python and machine learning. Certifications: PMP Certified Project Manager.",skill react system monitor c javascript linux experience   year experience cloud infrastructure management internship intern data engineer mno data lab project develop chatbot python machine learn certification pmp certify project manager,skill react system monitor c javascript linux experi year experi cloud infrastructur manag internship intern data engin mno data lab project develop chatbot python machin learn certif pmp certifi project manag
Network Engineer,"Skills: Oracle, System Monitoring, Python, Keras, Azure. Experience: 3 months of experience as a junior backend developer. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Created a mobile app for e-commerce platforms. Certifications: Google Cloud Professional Cloud Architect.",skill oracle system monitor python keras azure experience   month experience junior backend developer internship intern pqr system ai machine learning project create mobile app ecommerce platform certifications google cloud professional cloud architect,skill oracl system monitor python kera azur experi month experi junior backend develop internship intern pqr system ai machin learn project creat mobil app ecommerc platform certif googl cloud profession cloud architect
Blockchain Developer,"Skills: Keras, Penetration Testing, Node.js, TensorFlow, Windows Server. Experience: Led a project to deploy cloud solutions across multiple teams. Internships: Intern at ABC Tech Solutions, focused on system analysis. Projects: Designed a microservice architecture for a large-scale web application. Certifications: AWS Certified Solutions Architect.",skill keras penetration test nodejs tensorflow window server experience lead project deploy cloud solution multiple team internship intern abc tech solution focus system analysis project design microservice architecture largescale web application certification aw certify solution architect,skill kera penetr test nodej tensorflow window server experi lead project deploy cloud solut multipl team internship intern abc tech solut focu system analysi project design microservic architectur largescal web applic certif aw certifi solut architect
Information Security Manager,"Skills: CI/CD, Node.js, PostgreSQL, Linux, Scrum. Experience: Handled technical support for enterprise-level systems. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Developed a chatbot using Python and machine learning. Certifications: Microsoft Certified: Azure Fundamentals.",skill cicd nodejs postgresql linux scrum experience handle technical support enterpriselevel system internship intern pqr system ai machine learning project develop chatbot python machine learn certification microsoft certify azure fundamental,skill cicd nodej postgresql linux scrum experi handl technic support enterpriselevel system internship intern pqr system ai machin learn project develop chatbot python machin learn certif microsoft certifi azur fundament
